id_inst,nm_inst,lat,lng
157485424,KAIST,36.3721427,127.36039
143302722,University of Kentucky,38.0306511,-84.5039697
45129253,University College London,51.52455920000001,-0.1340401
2799899409,Hadassah Medical Center,29.92749969999999,-95.58964429999999
71999127,University of Barcelona,41.386608,2.16402
,"Dipartimento di Fisica, Univ. Messina Vill. S. Agata, C.P. 55, I-98166 Messina, Italy",38.1937335,15.5542057
83399316,Rockefeller University,40.7625706,-73.9556889
74801974,University of Tokyo,35.7126775,139.761989
25254941,Beijing Normal University,39.9619537,116.3662615
114531698,Tokyo Institute of Technology,35.6051229,139.6835302
,"Lyndon B. Johnson Space Center, Houston",29.5593451,-95.089998
,"Embassy of Italy in Tel Aviv, 25 Hamered Street, 68125 Tel Aviv, Israel",32.0626619,34.7628122
66946132,"University of Maryland, College Park",38.9869183,-76.9425543
39422238,University of Illinois at Chicago,41.8697938,-87.6496336
146416000,University of Kansas,38.9543439,-95.2557961
1343028186,United States Fish and Wildlife Service,36.342503,-94.788028
185261750,University of Toronto,43.7077119,-79.3949416
1293035123,Met Office,36.8748355,-94.87714109999999
184692499,Austin Peay State University,36.53498,-87.3548855
,Cary Institute of Ecosystem Studies,41.785189,-73.733878
52064589,Clark Atlanta University,33.7515658,-84.4112315
124357947,University of London,51.5229378,-0.1308206
130769515,Pennsylvania State University,40.7982133,-77.8599084
219388962,University of Wrocław,51.1140053,17.034463
,"Itamar Medical Ltd., Cesarea, Israel",32.4829836,34.94766
134820265,Spanish National Research Council,40.441229,-3.687382899999999
,Sanders Environmental Inc.,40.9206054,-77.6515984
174878644,University of Patras,38.28923,21.785369
204250578,"University of California, Irvine",33.6404952,-117.8442962
1341412227,IBM,36.3606572,-94.1828163
24354313,University of Buenos Aires,-34.5998875,-58.37306949999999
,"Forest Glen Research, LLC",38.9879757,-77.41387279999999
,"Institute for Regulation of Emergency and Disaster,Israel",31.046051,34.851612
29078338,National Institute of Geophysics and Volcanology,41.8283206,12.5151044
40120149,University of Oxford,51.7548164,-1.2543668
189075073,Universidad Nacional de Mar del Plata,-38.0237563,-57.5661653
27577105,University College Cork,51.89211239999999,-8.493267099999999
,ICT4Peace,46.2221298,6.134404
1336742384,Children's National Medical Center,38.9271175,-77.0145732
173212132,Vilnius University,54.6825757,25.2876469
72852730,Zagreb School of Economics and Management,45.8274594,15.9986973
163340411,Hohai University,32.054204,118.756843
109935558,Ningbo University,29.88070669999999,121.5325609
95457486,"University of California, Berkeley",37.8718992,-122.2585399
20888794,Liquid Crystal Institute,41.14421859999999,-81.3399302
153648349,University of Leicester,52.6211393,-1.1246325
146655781,University of Liverpool,53.405936,-2.9655722
154526488,French Institute of Health and Medical Research,48.8265809,2.36548
141596103,University of Lisbon,38.7526578,-9.158244999999999
40978471,Rappaport Faculty of Medicine,32.8342598,34.9838015
150229711,University of Electronic Science and Technology of China,30.788537,103.888902
2250650973,Samsung,40.7406197,-74.00735499999999
197907453,Akdeniz University,36.8945335,30.655353
1174212,University of Southern California,34.0223519,-118.285117
93477617,Huizhou University,23.121649,113.9624
1321296531,National Institute of Standards and Technology,39.14004,-77.21850599999999
1297011914,Gulf Coast Regional Blood Center,29.691193,-95.409092
40963666,Central China Normal University,30.518801,114.358401
2699952,Pontifical Catholic University of Rio de Janeiro,-22.9791074,-43.23308249999999
37696226,University of Maribor,46.5591885,15.6433073
165143802,University of Queensland,-27.4954306,153.0120301
39555362,University of Warwick,52.3792525,-1.5614704
110120368,ENEA,43.02649299999999,-75.056736
72816309,Drexel University,39.9566127,-75.18994409999999
116578957,Goddard Institute for Space Studies,40.8054715,-73.9652249
99464096,Katholieke Universiteit Leuven,50.87795449999999,4.7002953
52170813,Ariel University,32.103188,35.207718
200284239,University of Santiago de Compostela,42.8885225,-8.5449726
75900474,Hubei University,30.5604645,114.3174596
175003984,Office of Naval Research,38.8807927,-77.108694
35046152,Federal University of Rio Grande do Norte,-5.8407114,-35.2005854
2800939219,RIKEN Brain Science Institute,42.3623024,-71.09176590000001
91045830,Texas A&M University,29.2177737,-99.7595898
14243506,Hong Kong Polytechnic University,22.3045719,114.1795642
122411786,California Institute of Technology,34.1376576,-118.125269
1309191912,Research Triangle Park,35.8991678,-78.86364019999999
204730241,University of Paris,48.8484556,2.3432774
88060688,Technical University of Madrid,40.4486372,-3.7192798
1323861001,Conrad Hotels,40.7149114,-74.01546119999999
158937107,Swiss Tropical and Public Health Institute,47.55592780000001,7.577431699999999
129604602,University of Sydney,-33.888584,151.1873473
76569877,Southeast University,28.0301306,-81.9179961
1318287680,Center for Biologics Evaluation and Research,39.2217855,-76.9758274
126520041,University of Science and Technology of China,31.821994,117.28059
2799810450,Sheba Medical Center,34.0672802,-118.3998525
66958751,Woods Hole Oceanographic Institution,41.5242348,-70.6711607
84218800,"University of California, Davis",38.5382322,-121.7617125
75951250,Free University of Berlin,52.4525264,13.2896787
200332995,Technical University of Dortmund,51.4921902,7.4141362
197191942,St. Francis Xavier University,45.6179829,-61.9947194
75354592,Federal Trade Commission,38.8836682,-77.02114859999999
25846049,National Tsing Hua University,24.7947253,120.9932316
157536573,Pasteur Institute,48.8403734,2.3112488
55143463,University of Turin,45.06942799999999,7.6889006
165390105,University of South Africa,-25.7676588,28.1992637
16835326,University of St Andrews,34.7448064,-79.48007109999999
168635309,University of Calgary,51.0781599,-114.1358007
154347574,University of Rijeka,45.3277614,14.4667629
31512782,Technische Universität Darmstadt,49.8748277,8.6563281
190082696,Durham University,54.7649859,-1.5782029
197604219,National Research Council,38.8967775,-77.01931189999999
255234318,University of Zaragoza,41.6420639,-0.9015065
133999245,"University of Nevada, Las Vegas",36.1085197,-115.1431709
146399215,University of Tsukuba,36.10882369999999,140.103652
148518341,The Cyprus Institute,35.1408043,33.381286
920791158,American Hotel & Lodging Educational Institute,34.0452162,-118.2362774
187531555,Lund University,55.7119483,13.203493
198945027,Central European University,47.5005395,19.04958
188538660,University of Colorado Boulder,40.00758099999999,-105.2659417
111979921,Northwestern University,42.0564594,-87.67526699999999
232641801,Torcuato di Tella University,-34.5474028,-58.4467186
112862951,University of Messina,38.1891564,15.5530341
84392919,Temple University,39.9811935,-75.1553512
